image_name,dice,num_prompts,max_score,gt_area,pred_area
19_R_CC,0.5344145662196634,1,0.9981306195259094,125246,45670
19_R_MLO,0.5575977910267873,3,0.9986804127693176,291447,113447
35_R_CC,0.6304762532079133,3,0.9359748363494873,156583,238144
36_L_CC,0.1061779000995491,3,0.9460393190383911,5967,79418
36_L_MLO,0.7880203324632504,1,0.9192692637443542,5764,8794
4_R_CC,0.8343928402263605,2,0.5946547389030457,69809,90643
4_R_MLO,0.2876823846202016,1,0.6486452221870422,136152,23538
50_L_CC,0.34626008418098914,2,0.995140790939331,23046,68186
50_L_MLO,0.474671017842844,1,0.9894826412200928,50480,15709
54_R_CC,0.45851570063129765,3,0.7817443609237671,31873,41468
54_R_MLO,0.6332926169927311,2,0.984250545501709,36932,62946
64_L_CC,0.7460340806421112,1,0.9980003237724304,29627,17966
64_L_MLO,0.8856451747435149,2,0.9954973459243774,19209,16758
66_R_CC,0.37686423514051853,3,0.7222238779067993,63516,175456
66_R_MLO,0.0,0,0.0,107343,0
66_R_XCCL,0.0,0,0.0,84827,0
71_L_CC,0.8305706755991231,3,0.9930950999259949,22459,18142
72_L_CC,0.7116474675443408,1,0.9265097379684448,17615,9730
72_L_MLO,0.0,2,0.7659261226654053,17722,76860
72_R_CC,0.8487640869186227,1,0.731084406375885,16767,15355
72_R_MLO,0.0,0,0.0,18440,0
80_R_CC,0.11255564319453133,3,0.8466780185699463,13545,207057
80_R_MLO,0.26488301929754654,2,0.9848309755325317,15741,72094
85_R_CC,0.7125524965002333,1,0.7454708814620972,8937,12493
99_R_CC,0.7359897962669825,3,0.9999268054962158,35359,52452
99_R_MLO,0.6194246503035101,3,0.9998412132263184,44773,76475
